INFO: setting server port as: 5001
INFO: Waiting for incoming connection...
R0:11002.152125,0.041792,11002.152268,11002.194098
R1:11002.356057,0.133472,11002.356122,11002.489596
R2:11002.525901,0.018341,11002.525954,11002.544296
R3:11002.795544,0.121834,11002.795647,11002.917482
R4:11002.840971,0.067281,11002.918560,11002.985842
R5:11002.877158,0.082600,11002.987123,11003.069744
R6:11002.949291,0.060026,11003.070898,11003.130925
R7:11002.999764,0.206605,11003.131617,11003.338223
R8:11003.337724,0.105280,11003.339800,11003.445082
R9:11003.449991,0.077822,11003.450043,11003.527885
R10:11003.467135,0.023187,11003.528614,11003.551802
R11:11003.468975,0.135879,11003.552500,11003.688380
R12:11003.485399,0.042700,11003.689480,11003.732181
R13:11003.504345,0.009600,11003.732987,11003.742587
R14:11003.519826,0.020519,11003.743420,11003.763939
R15:11004.279386,0.152254,11004.279479,11004.431754
R16:11004.359363,0.029252,11004.432937,11004.462211
R17:11004.464762,0.061912,11004.464792,11004.526704
R18:11004.577555,0.300302,11004.577637,11004.877941
R19:11004.653195,0.122966,11004.879107,11005.002075
R20:11004.691658,0.122442,11005.003277,11005.125720
R21:11004.774798,0.185106,11005.126739,11005.311847
R22:11004.831616,0.036214,11005.313029,11005.349245
R23:11004.868644,0.209469,11005.350022,11005.559493
R24:11005.051876,0.248530,11005.560523,11005.809055
R25:11005.059937,0.007499,11005.810275,11005.817776
R26:11005.142910,0.090695,11005.818375,11005.909072
R27:11005.166645,0.035757,11005.909737,11005.945494
R28:11005.412159,0.001686,11005.946183,11005.947869
R29:11005.419553,0.005431,11005.948616,11005.954065
R30:11005.487562,0.293994,11005.954749,11006.248744
R31:11005.517831,0.158606,11006.250197,11006.408804
R32:11005.776182,0.064667,11006.410221,11006.474890
R33:11005.810687,0.119013,11006.475965,11006.594979
R34:11005.862997,0.091816,11006.595782,11006.687599
R35:11005.942884,0.003339,11006.688340,11006.691680
R36:11006.027182,0.223819,11006.692372,11006.916191
R37:11006.091159,0.106364,11006.916961,11007.023327
