INFO: setting server port as: 5001
INFO: Waiting for incoming connection...
R0:11097.746149,0.041792,11097.746291,11097.788140
R1:11097.929702,0.133472,11097.929800,11098.063274
R2:11098.082593,0.018341,11098.082664,11098.101022
R3:11098.325285,0.121834,11098.325382,11098.447218
R4:11098.366173,0.067281,11098.448478,11098.515760
R5:11098.398739,0.082600,11098.516559,11098.599177
R6:11098.463672,0.060026,11098.600087,11098.660114
R7:11098.509067,0.206605,11098.660867,11098.867473
R8:11098.813232,0.105280,11098.868562,11098.973862
R9:11098.914282,0.077822,11098.974645,11099.052484
R10:11098.929665,0.023187,11099.053259,11099.076447
R11:11098.931325,0.135879,11099.077674,11099.213554
R12:11098.946112,0.042700,11099.214816,11099.257517
R13:11098.963165,0.009600,11099.258207,11099.267808
R14:11098.977090,0.020519,11099.268683,11099.289202
R15:11099.660683,0.152254,11099.660757,11099.813040
R16:11099.732695,0.029252,11099.814605,11099.843858
R17:11099.827590,0.061912,11099.844606,11099.906520
R18:11099.929104,0.300302,11099.929169,11100.229473
R19:11099.997194,0.122966,11100.230672,11100.353640
R20:11100.031859,0.122442,11100.354645,11100.477088
R21:11100.106722,0.185106,11100.478242,11100.663350
R22:11100.157894,0.036214,11100.664545,11100.700779
R23:11100.191242,0.209469,11100.701568,11100.911038
R24:11100.356144,0.248530,11100.912157,11101.160689
R25:11100.363389,0.007499,11101.161753,11101.169252
R26:11100.438066,0.090695,11101.169871,11101.260567
R27:11100.459463,0.035757,11101.261359,11101.297117
R28:11100.680426,0.001686,11101.297884,11101.299570
R29:11100.687074,0.005431,11101.300434,11101.305866
R30:11100.748286,0.293994,11101.306471,11101.600485
R31:11100.775517,0.158606,11101.601570,11101.760177
R32:11101.008032,0.064667,11101.761275,11101.825954
R33:11101.039064,0.119013,11101.826740,11101.945754
R34:11101.086110,0.091816,11101.946862,11102.038680
R35:11101.157990,0.003339,11102.039997,11102.043337
R36:11101.233920,0.223819,11102.045472,11102.269293
R37:11101.291502,0.106364,11102.270427,11102.376812
R38:11101.558632,0.111788,11102.377751,11102.489541
R39:11101.592148,0.036419,11102.491046,11102.527467
R40:11101.694331,0.015124,11102.528980,11102.544106
R41:11101.810832,0.176741,11102.545035,11102.721778
R42:11101.868882,0.033415,11102.723308,11102.756724
R43:11102.045636,0.186534,11102.757404,11102.943940
R44:11102.071669,0.096708,11102.945274,11103.041984
R45:11102.114851,0.074024,11103.043230,11103.117262
R46:11102.428345,0.163059,11103.118181,11103.281268
R47:11102.535529,0.214719,11103.282460,11103.497192
R48:11102.593461,0.140512,11103.498664,11103.639177
R49:11102.644305,0.201567,11103.640246,11103.841821
R50:11102.759596,0.020260,11103.843393,11103.863654
R51:11102.825509,0.210611,11103.864350,11104.074963
R52:11103.125637,0.177430,11104.076525,11104.253956
