INFO: setting server port as: 5001
INFO: Waiting for incoming connection...
R0:3433.714261,0.041792,3433.714417,3433.756257
R1:3433.897803,0.133472,3433.897868,3434.031342
R2:3434.050678,0.018341,3434.050736,3434.069078
R3:3434.293386,0.121834,3434.293462,3434.415316
R4:3434.334252,0.067281,3434.416548,3434.483849
R5:3434.366812,0.082600,3434.484681,3434.567290
R6:3434.431730,0.060026,3434.568310,3434.628337
R7:3434.477129,0.206605,3434.629151,3434.835758
R8:3434.781300,0.105280,3434.836887,3434.942187
R9:3434.882340,0.077822,3434.943572,3435.021396
R10:3434.897733,0.023187,3435.022342,3435.045530
R11:3434.899390,0.135879,3435.046371,3435.182258
R12:3434.914163,0.042700,3435.183348,3435.226049
R13:3434.931236,0.009600,3435.226756,3435.236356
R14:3434.945151,0.020519,3435.237183,3435.257702
R15:3435.628740,0.152254,3435.628818,3435.781089
R16:3435.700710,0.029252,3435.782229,3435.811482
R17:3435.795574,0.061912,3435.812100,3435.874027
R18:3435.897083,0.300302,3435.897143,3436.197465
R19:3435.965144,0.122966,3436.198642,3436.321628
R20:3435.999767,0.122442,3436.323155,3436.445599
R21:3436.074605,0.185106,3436.446566,3436.631673
R22:3436.125780,0.036214,3436.632767,3436.668982
R23:3436.159141,0.209469,3436.669748,3436.879219
R24:3436.324045,0.248530,3436.880200,3437.128742
R25:3436.331296,0.007499,3437.130106,3437.137624
R26:3436.405961,0.090695,3437.138273,3437.228977
R27:3436.427318,0.035757,3437.229945,3437.265702
R28:3436.648298,0.001686,3437.266397,3437.268083
R29:3436.654945,0.005431,3437.268671,3437.274103
R30:3436.716155,0.293994,3437.274810,3437.568804
R31:3436.743404,0.158606,3437.569990,3437.728597
R32:3436.975911,0.064667,3437.729522,3437.794191
R33:3437.006952,0.119013,3437.796458,3437.915473
R34:3437.054016,0.091816,3437.916840,3438.008657
R35:3437.125884,0.003339,3438.009549,3438.012890
R36:3437.201751,0.223819,3438.013632,3438.237451
R37:3437.259333,0.106364,3438.238384,3438.344749
R38:3437.526454,0.111788,3438.345740,3438.457531
R39:3437.559925,0.036419,3438.458901,3438.495322
R40:3437.662129,0.015124,3438.496243,3438.511368
R41:3437.778582,0.176741,3438.512103,3438.688865
R42:3437.836617,0.033415,3438.689937,3438.723354
R43:3438.013527,0.186534,3438.724208,3438.910744
R44:3438.039555,0.096708,3438.913594,3439.010308
R45:3438.082701,0.074024,3439.011288,3439.085313
R46:3438.396154,0.163059,3439.086033,3439.249101
R47:3438.503303,0.214719,3439.250096,3439.464835
R48:3438.561234,0.140512,3439.466250,3439.606779
R49:3438.612080,0.201567,3439.608255,3439.809843
R50:3438.727381,0.020260,3439.811370,3439.831631
R51:3438.793272,0.210611,3439.832465,3440.043084
R52:3439.093372,0.177430,3440.044788,3440.222221
R53:3439.109365,0.047129,3440.223465,3440.270614
